&Reac_Pressure,Coolant_OutletTemp,T10,ColumnPC_OP,CondDuty_OutletTemp
29.5141,51.9407,182.256,47.5996,62.1094
29.5141,51.9407,182.256,47.599,62.1093
29.5141,51.9407,182.256,47.598,62.1096
29.5141,51.9407,182.256,47.5984,62.1098
29.5141,51.9407,182.256,47.5993,62.1097
29.5141,51.9407,182.256,47.5995,62.1094
29.5141,51.9407,182.256,47.5987,62.1094
29.5141,51.9407,182.256,47.5978,62.1098
29.5141,51.9407,182.256,47.5984,62.11
29.5141,51.9407,182.256,47.5995,62.1098
29.5141,51.9407,182.256,47.5993,62.1096
29.5141,51.9407,182.256,47.5977,62.1098
29.5141,51.9407,182.256,47.5979,62.1101
29.5141,51.9407,182.256,47.5989,62.1101
29.5141,51.9407,182.256,47.5998,62.1097
29.5141,51.9407,182.256,47.5985,62.1096
29.5141,51.9407,182.256,47.5973,62.1101
29.5141,51.9407,182.256,47.5978,62.1104
29.5141,51.9407,182.256,47.5992,62.1102
29.5141,51.9407,182.256,47.5994,62.1098
29.5141,51.9407,182.256,47.5978,62.1099
29.5141,51.9407,182.256,47.5972,62.1104
29.5141,51.9407,182.256,47.598,62.1106
29.5141,51.9407,182.256,47.5995,62.1103
29.5141,51.9407,182.256,47.5992,62.1099
29.5141,51.9407,182.256,47.5977,62.11
29.5141,51.9407,182.255,47.5969,62.1106
29.5141,51.9407,182.256,47.5981,62.1107
29.5141,51.9407,182.256,47.5995,62.1103
29.5141,51.9407,182.256,47.5989,62.11
29.5141,51.9407,182.256,47.5975,62.1102
29.5141,51.9407,182.255,47.597,62.1107
29.5141,51.9407,182.256,47.5981,62.1108
29.5141,51.9407,182.256,47.5991,62.1104
29.5141,51.9407,182.256,47.5985,62.1102
29.5141,51.9407,182.256,47.5972,62.1105
29.5141,51.9407,182.255,47.5971,62.1109
29.5141,51.9407,182.256,47.5985,62.1108
29.5141,51.9407,182.256,47.5989,62.1104
29.5141,51.9407,182.256,47.5977,62.1104
29.5141,51.9407,182.256,47.5967,62.1108
29.5141,51.9407,182.256,47.5972,62.1111
29.5141,51.9407,182.256,47.5986,62.1109
29.5141,51.9407,182.256,47.5991,62.1105
29.5141,51.9407,182.256,47.5971,62.1106
29.5141,51.9407,182.256,47.5964,62.1111
29.5141,51.9407,182.256,47.5972,62.1114
29.5141,51.9407,182.256,47.5988,62.111
29.5141,51.9407,182.256,47.5988,62.1105
29.5141,51.9407,182.256,47.5973,62.1107
29.5141,51.9407,182.255,47.5966,62.1111
29.5141,51.9407,182.256,47.5973,62.1113
29.5141,51.9407,182.256,47.5984,62.1111
29.5141,51.9407,182.256,47.5982,62.1108
29.5141,51.9407,182.256,47.5972,62.1108
29.5141,51.9407,182.256,47.5964,62.1112
29.5141,51.9407,182.256,47.5972,62.1114
29.5141,51.9407,182.256,47.5984,62.1112
29.5141,51.9407,182.256,47.598,62.1108
29.5141,51.9407,182.256,47.5968,62.111
29.5141,51.9407,182.256,47.5964,62.1114
29.5141,51.9407,182.256,47.5975,62.1115
29.5141,51.9407,182.256,47.5982,62.1112
29.5141,51.9407,182.256,47.5976,62.111
29.5141,51.9407,182.256,47.5963,62.1113
29.5141,51.9407,182.256,47.5962,62.1116
29.5141,51.9407,182.256,47.5978,62.1116
29.5169,51.9406,182.256,47.6007,62.1109
29.5225,51.9388,182.256,47.6084,62.1084
29.5302,51.9333,182.256,47.6169,62.104
29.5391,51.9223,182.256,47.6208,62.0996
29.5486,51.9044,182.255,47.6207,62.0968
29.558,51.8797,182.255,47.6222,62.0956
29.5668,51.8491,182.255,47.6284,62.094
29.5746,51.8144,182.255,47.635,62.0914
29.5813,51.7777,182.255,47.638,62.0889
29.5871,51.7409,182.254,47.6396,62.0874
29.5924,51.7047,182.254,47.6449,62.086
29.5972,51.6705,182.254,47.6542,62.083
29.6019,51.6385,182.254,47.6631,62.0786
29.6068,51.6086,182.254,47.6688,62.0741
29.6119,51.58,182.253,47.6749,62.0698
29.6173,51.5518,182.253,47.6835,62.0652
29.6228,51.524,182.253,47.6934,62.0596
29.6287,51.4953,182.252,47.7022,62.0535
29.6345,51.4657,182.252,47.7088,62.0477
29.6403,51.4343,182.252,47.7158,62.0424
29.646,51.4018,182.251,47.7246,62.0369
29.6515,51.3684,182.251,47.7342,62.0306
29.6566,51.3344,182.251,47.7434,62.024
29.6615,51.3002,182.25,47.7503,62.0176
29.6663,51.2657,182.25,47.7577,62.0116
29.6708,51.2311,182.249,47.768,62.0048
29.6753,51.1971,182.249,47.779,61.9971
29.6796,51.1637,182.248,47.7887,61.9892
29.6838,51.1317,182.248,47.7958,61.9816
29.6882,51.0985,182.247,47.8039,61.9743
29.6926,51.0656,182.247,47.8153,61.9664
29.697,51.0326,182.246,47.8273,61.9572
29.7016,50.9977,182.245,47.8372,61.9473
29.706,50.9645,182.245,47.8449,61.9385
29.7103,50.9307,182.244,47.854,61.93
29.7146,50.8967,182.243,47.8647,61.9211
29.7188,50.8624,182.243,47.8766,61.9112
29.723,50.8274,182.242,47.8869,61.9008
29.7271,50.7921,182.241,47.8954,61.8907
29.7311,50.7573,182.241,47.9043,61.8812
29.7351,50.7226,182.24,47.915,61.8712
29.7391,50.6872,182.239,47.9276,61.8603
29.7431,50.6516,182.239,47.9391,61.8485
29.747,50.6169,182.238,47.9465,61.8376
29.7508,50.582,182.237,47.9557,61.8272
29.7547,50.5461,182.236,47.9679,61.8159
29.7586,50.5109,182.235,47.9799,61.8038
29.7624,50.4758,182.235,47.9904,61.7914
29.7661,50.4409,182.234,47.9987,61.7796
29.7698,50.4055,182.233,48.0081,61.7681
29.7735,50.3704,182.232,48.0199,61.756
29.7773,50.3344,182.231,48.032,61.7427
29.781,50.2988,182.23,48.0411,61.7296
29.7846,50.2633,182.229,48.0492,61.7172
29.7883,50.2276,182.228,48.0597,61.7048
29.7919,50.1938,182.228,48.0717,61.6921
29.7956,50.1573,182.227,48.0822,61.678
29.7992,50.1212,182.226,48.09,61.6647
29.8027,50.0851,182.225,48.0993,61.6516
29.8062,50.0499,182.224,48.1105,61.6382
29.8097,50.014,182.223,48.1219,61.6237
29.8131,49.9789,182.222,48.1305,61.6095
29.8167,49.9434,182.221,48.1389,61.5957
29.8201,49.9078,182.22,48.1481,61.5818
29.8236,49.872,182.219,48.1587,61.5674
29.8271,49.8359,182.218,48.1689,61.5523
29.8306,49.7998,182.217,48.1777,61.5373
29.8341,49.764,182.216,48.1859,61.5227
29.8375,49.7278,182.215,48.1948,61.5079
29.8409,49.6918,182.214,48.2044,61.4929
29.8442,49.656,182.213,48.2136,61.4776
29.8476,49.6194,182.212,48.2227,61.462
29.8509,49.5839,182.21,48.23,61.4469
29.8541,49.5478,182.209,48.2376,61.4319
29.8574,49.5121,182.208,48.2471,61.4166
29.8607,49.4761,182.207,48.257,61.4005
29.864,49.4404,182.206,48.265,61.3843
29.8673,49.4049,182.205,48.2713,61.3687
29.8707,49.3686,182.204,48.2798,61.353
29.8739,49.3327,182.203,48.2885,61.3368
29.8771,49.2968,182.202,48.2963,61.3205
29.8804,49.2608,182.2,48.3033,61.3043
29.8836,49.2248,182.199,48.3109,61.2881
29.8868,49.1887,182.198,48.3188,61.2716
29.89,49.1529,182.197,48.3265,61.2552
29.8932,49.117,182.196,48.3338,61.2386
29.8964,49.08,182.194,48.3406,61.2216
29.8995,49.044,182.193,48.3475,61.2051
29.9027,49.0079,182.192,48.3552,61.1884
29.9058,48.9718,182.191,48.3632,61.1711
29.909,48.936,182.19,48.3683,61.1544
29.9121,48.8995,182.188,48.3747,61.1375
29.9153,48.8618,182.187,48.3828,61.12
29.9183,48.8258,182.186,48.39,61.1025
29.9214,48.7895,182.185,48.3964,61.085
29.9244,48.7536,182.183,48.4023,61.0681
29.9276,48.7165,182.182,48.4085,61.0506
29.9307,48.6796,182.181,48.4147,61.0334
29.9337,48.643,182.18,48.4225,61.0155
29.9366,48.6069,182.178,48.4292,60.9976
29.9396,48.5707,182.177,48.4337,60.98
29.9426,48.5345,182.176,48.439,60.9627
29.9455,48.4983,182.174,48.4458,60.9452
29.9485,48.462,182.173,48.4531,60.9271
29.9514,48.4256,182.172,48.4589,60.9087
29.9543,48.3893,182.17,48.4627,60.891
29.9572,48.353,182.169,48.4682,60.8737
29.96,48.3168,182.168,48.4749,60.8558
29.9629,48.2806,182.166,48.4809,60.8376
29.9657,48.2454,182.165,48.4867,60.82
29.9686,48.2086,182.164,48.4907,60.8018
29.9714,48.1717,182.162,48.4947,60.7841
29.9742,48.1354,182.161,48.5016,60.7662
29.977,48.0996,182.16,48.5087,60.7477
29.9798,48.0633,182.158,48.5128,60.7292
29.9826,48.0267,182.157,48.5178,60.7108
29.9853,47.9904,182.155,48.5215,60.6929
29.988,47.9537,182.154,48.5269,60.6749
29.9907,47.917,182.153,48.534,60.6561
29.9934,47.8803,182.151,48.539,60.6371
29.996,47.8441,182.15,48.5427,60.6186
29.9986,47.8079,182.148,48.5475,60.6005
30.0012,47.7721,182.147,48.5525,60.5823
30.0039,47.7362,182.146,48.5579,60.5639
30.0065,47.6997,182.144,48.5632,60.5451
30.0092,47.6635,182.143,48.5683,60.5263
30.0118,47.6274,182.141,48.572,60.5078
30.0144,47.5908,182.14,48.5761,60.4895
30.0169,47.5545,182.138,48.5816,60.4711
30.0195,47.5178,182.137,48.5877,60.4519
30.022,47.4813,182.135,48.592,60.4329
30.0245,47.4446,182.134,48.5959,60.4142
30.0269,47.4086,182.132,48.6003,60.3959
30.0294,47.3725,182.131,48.6058,60.3774
30.0319,47.3364,182.13,48.6104,60.3587
30.0344,47.2998,182.128,48.6145,60.3399
30.0369,47.2637,182.127,48.6198,60.3212
30.0394,47.2275,182.125,48.625,60.3023
30.0418,47.1913,182.124,48.6297,60.2834
30.0443,47.1548,182.122,48.6338,60.2645
30.0467,47.1187,182.121,48.6385,60.2461
30.0492,47.082,182.119,48.6437,60.2271
30.0516,47.0457,182.118,48.6488,60.2082
30.0539,47.0091,182.116,48.6532,60.189
30.0563,46.9728,182.115,48.6571,60.1704
30.0586,46.9365,182.113,48.6623,60.1517
30.061,46.9003,182.112,48.6681,60.1325
30.0633,46.8642,182.11,48.6732,60.1134
30.0657,46.8275,182.109,48.6769,60.0942
30.068,46.791,182.107,48.6813,60.0751
30.0703,46.7548,182.105,48.6851,60.0567
30.0726,46.7186,182.104,48.6916,60.0377
30.0749,46.6822,182.103,48.6975,60.0181
30.0772,46.6462,182.101,48.7016,59.9987
30.0794,46.61,182.099,48.704,59.98
30.0817,46.5739,182.098,48.709,59.9616
30.0839,46.5381,182.096,48.7155,59.9427
30.0862,46.5017,182.095,48.7209,59.9231
30.0885,46.4667,182.093,48.7247,59.9047
30.0908,46.4294,182.092,48.7279,59.8856
30.093,46.3928,182.09,48.7324,59.8671
30.0953,46.3564,182.089,48.7391,59.848
30.0975,46.3198,182.087,48.7455,59.8282
30.0997,46.2837,182.086,48.7492,59.8087
30.1019,46.2473,182.084,48.7521,59.7899
30.1041,46.2118,182.082,48.7575,59.7715
30.1063,46.1757,182.081,48.764,59.7523
